year;month;end_of_week;avg_goals_per_match_home;home_avg_growth %;avg_goals_per_match_away;away_avg_growth %
2009;02;2009-02-01;1.24;-0.1014;1.05;-0.087
2009;01;2009-01-25;1.38;-0.1585;1.15;0.055
2009;01;2009-01-18;1.64;0.1884;1.09;0.0187
2009;01;2009-01-11;1.38;0.0781;1.07;0.0288
2009;01;2009-01-04;1.28;-0.1688;1.04;0.0097
2008;12;2008-12-28;1.54;-0.0128;1.03;-0.1557
2008;12;2008-12-21;1.56;-0.0545;1.22;0.22
2008;12;2008-12-14;1.65;-0.0625;1;-0.2754
2008;12;2008-12-07;1.76;0.1892;1.38;0.5682
2008;11;2008-11-30;1.48;-0.0633;0.88;-0.1698
2008;11;2008-11-23;1.58;-0.0307;1.06;0.1398
2008;11;2008-11-16;1.63;0.1399;0.93;-0.177
2008;11;2008-11-09;1.43;-0.0467;1.13;-0.0174
2008;11;2008-11-02;1.5;0.0067;1.15;0.055
2008;10;2008-10-26;1.49;0;1.09;0.0283
2008;10;2008-10-19;1.49;4.96;1.06;-0.2933
2008;10;2008-10-12;0.25;-0.8529;1.5;0.3043
2008;10;2008-10-05;1.7;0.1409;1.15;0.1386
2008;09;2008-09-28;1.49;0.1037;1.01;0.1348
2008;09;2008-09-21;1.35;-0.1916;0.89;-0.288
2008;09;2008-09-14;1.67;0.67;1.25;0.8657
2008;09;2008-09-07;1;-0.2857;0.67;-0.5145
2008;08;2008-08-31;1.4;-0.125;1.38;0.4526
2008;08;2008-08-24;1.6;0.0959;0.95;-0.2276
2008;08;2008-08-17;1.46;0.0896;1.23;0.3226
2008;08;2008-08-10;1.34;-0.1976;0.93;0.1205
2008;08;2008-08-03;1.67;0.67;0.83;0.0641
2008;07;2008-07-27;1;-0.3333;0.78;-0.5543
2008;07;2008-07-20;1.5;0;1.75;0
